               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,             0.05328,            0.019469,            0.058699,             0.27133,             0.17852,             0.08062,             0.05332,            0.063741,             0.01501,            0.074411,            0.005677,            0.005677,            0.005677
                 133,            0.053732,             0.01945,            0.057539,             0.50721,            0.080059,            0.087929,            0.041687,            0.064262,            0.015001,            0.074128,            0.005644,            0.005644,            0.005644
                 134,             0.05334,             0.01936,            0.058878,             0.32183,             0.14462,            0.071762,            0.041229,            0.064696,            0.015024,            0.074515,            0.005611,            0.005611,            0.005611
                 135,            0.054318,            0.019167,            0.057469,             0.45786,             0.10226,            0.055358,            0.027349,            0.064576,            0.014897,            0.074246,            0.005578,            0.005578,            0.005578
                 136,            0.053646,            0.018731,            0.056101,             0.40872,             0.10366,            0.061402,             0.03107,            0.065411,            0.015022,            0.075609,            0.005545,            0.005545,            0.005545
                 137,            0.052517,            0.019572,            0.058013,             0.32849,             0.14868,            0.070747,            0.038854,            0.064776,            0.015271,            0.075818,            0.005512,            0.005512,            0.005512
                 138,            0.054965,            0.019492,            0.056907,             0.33924,             0.12639,             0.05132,            0.029528,            0.064243,            0.014991,            0.074767,            0.005479,            0.005479,            0.005479
                 139,            0.053559,            0.018955,            0.058142,             0.43431,            0.096155,            0.079737,            0.035232,             0.06456,            0.015203,             0.07576,            0.005446,            0.005446,            0.005446
                 140,            0.053884,            0.019245,            0.056466,             0.29033,             0.13178,             0.06389,            0.036803,            0.064648,            0.014753,            0.075441,            0.005413,            0.005413,            0.005413
                 141,            0.053382,            0.018902,            0.056299,             0.33449,             0.11794,            0.072135,            0.044516,            0.064652,            0.015277,            0.075659,             0.00538,             0.00538,             0.00538
                 142,            0.053076,            0.018993,            0.056527,             0.48826,            0.069339,            0.067731,            0.044389,             0.06425,            0.015291,            0.074819,            0.005347,            0.005347,            0.005347
                 143,             0.05423,            0.019665,            0.055105,             0.41035,             0.10951,            0.075176,            0.045333,            0.064344,            0.014726,             0.07719,            0.005314,            0.005314,            0.005314
                 144,            0.053202,            0.019066,            0.055523,             0.28396,             0.16273,            0.064897,            0.039239,            0.064428,            0.014831,             0.07531,            0.005281,            0.005281,            0.005281
                 145,            0.053016,            0.019732,            0.055484,             0.27419,             0.15137,            0.067978,            0.042463,            0.064118,            0.014941,             0.07402,            0.005248,            0.005248,            0.005248
                 146,            0.053022,            0.019365,            0.056045,              0.2807,             0.17349,            0.082094,            0.052374,             0.06422,            0.015076,            0.075148,            0.005215,            0.005215,            0.005215
                 147,            0.053562,             0.01831,            0.055049,             0.28615,             0.15381,            0.069973,            0.038657,            0.064229,            0.015051,             0.07491,            0.005182,            0.005182,            0.005182
                 148,            0.053659,            0.019331,            0.053987,             0.26996,             0.15385,            0.069117,            0.040721,            0.064941,            0.014714,            0.073383,            0.005149,            0.005149,            0.005149
                 149,             0.05248,            0.018148,            0.054565,             0.46634,            0.092035,            0.086849,             0.04459,            0.064217,            0.014779,            0.075226,            0.005116,            0.005116,            0.005116
                 150,            0.051656,            0.018192,            0.054914,             0.37787,             0.12829,             0.07886,            0.039577,            0.064982,            0.014704,            0.075241,            0.005083,            0.005083,            0.005083
                 151,             0.05108,            0.018933,             0.05471,              0.3071,             0.13279,            0.062529,            0.036962,            0.064449,            0.015095,            0.075406,             0.00505,             0.00505,             0.00505
                 152,            0.052325,            0.018548,            0.053566,             0.26328,             0.12269,            0.064298,            0.038812,            0.065664,            0.014992,            0.075388,            0.005017,            0.005017,            0.005017
                 153,            0.050844,            0.018677,            0.053967,              0.3714,             0.10461,            0.066989,            0.036327,            0.065033,            0.014823,            0.075246,            0.004984,            0.004984,            0.004984
                 154,            0.053078,            0.019349,            0.053578,             0.27399,             0.15641,            0.071847,            0.039628,             0.06509,            0.014903,            0.075696,            0.004951,            0.004951,            0.004951
                 155,            0.051074,            0.019051,             0.05342,             0.39018,             0.08509,            0.075178,            0.043423,            0.064374,            0.015196,            0.075623,            0.004918,            0.004918,            0.004918
                 156,            0.051369,            0.018421,            0.052632,             0.33099,             0.14218,            0.069763,            0.036418,            0.064426,            0.015242,            0.076975,            0.004885,            0.004885,            0.004885
                 157,            0.053302,             0.01944,             0.05138,              0.4584,            0.078132,            0.066373,            0.037737,            0.065264,            0.014914,            0.078153,            0.004852,            0.004852,            0.004852
                 158,            0.050557,            0.017361,            0.053162,             0.47112,            0.087051,            0.071219,            0.040077,            0.063894,            0.015192,            0.076056,            0.004819,            0.004819,            0.004819
                 159,            0.049802,            0.017714,            0.052468,             0.30607,             0.14497,            0.071048,            0.041569,            0.064199,            0.015024,            0.075631,            0.004786,            0.004786,            0.004786
                 160,            0.050709,            0.018292,            0.053064,             0.32816,             0.11487,            0.079116,            0.048275,            0.064435,            0.015036,            0.075742,            0.004753,            0.004753,            0.004753
                 161,            0.051367,               0.018,            0.051678,              0.3506,             0.12981,            0.065592,            0.036229,            0.064777,            0.015135,            0.077099,             0.00472,             0.00472,             0.00472
                 162,             0.05181,            0.018138,            0.051745,              0.2639,             0.16296,             0.06638,            0.035916,            0.064235,            0.014957,            0.076906,            0.004687,            0.004687,            0.004687
